"idDienThoai";"ten";"url_img";"gia";"gia_cu";"gia_online";"ram";"rom";"mau_sac";"khuyen_mai";"url_installment";"cong_nghe_man_hinh";"do_phan_giai";"mau_man_hinh";"chuan_man_hinh";"cong_nghe_cam_ung";"man_hinh";"mat_kinh_man_hinh";"toc_do_cpu";"so_nhan";"chipset";"gpu";"cam_bien";"the_nho_ngoai";"dung_luong_the_nho_toi_da";"dung_luong_danh_ba";"bo_nho_con_lai";"kich_thuoc";"trong_luong";"kieu_dang";"chat_lieu";"chong_nuoc";"loai_pin";"cong_nghe_pin";"dung_luong_pin";"thao_roi_pin";"thoi_gian_cho";"thoi_gian_dam_thoai";"thoi_gian_sac";"sac_nhanh";"ket_noi_usb";"cong_ket_noi_khac";"cong_sac";"jack_in_out";"wifi";"gps";"bluetooth";"gprs";"edge";"loai_sim";"mang_2g";"mang_3g";"mang_4g";"khe_cam_sim";"nfc";"model_series";"he_dieu_hanh";"xem_phim";"nghe_nhac";"ghi_am";"fm_radio";"den_pin";"chuc_nang_khac";"thoi_gian_bao_hanh";"xuat_xu";"nam_san_xuat";"do_phan_giai_cam_truoc";"do_phan_giai_cam_sau";"thong_tin_khac";"quay_phim";"den_flash";"chup_anh_nang_cao";"video_call";"box";"choi_game";"ghi_chu"
"224";"Samsung Galaxy A71 5G";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/4/15/637225425631770771_ss-a71-5g-1.png";"None";"None";"None";NULL;NULL;;;"không";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"không";NULL;"Sản phẩm tin đồn"
"225";"Samsung Galaxy A41";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/3/2/637187658580120571_samsung-galaxy-a41-1.png";"None";"None";"None";NULL;NULL;;;"không";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"không";NULL;"Sản phẩm tin đồn"
"226";"Samsung Galaxy M21";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/3/27/637209156915075495_ss-m21-den-1.png";"5490000";"4334000";NULL;"4 GB";"64 GB";"Đen/Xanh/";"Trả góp 0%, mỗi tháng từ 278,000đ
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 369,000đ.
 Xem chi tiết";"https:/dien-thoai/samsung-galaxy-m31";"Super AMOLED";"2340 x 1080 Pixel";"16 triệu màu";"Full HD+";NULL;"6.4 inches";"Kính cường lực Corning Gorilla Glass 3";"Lõi 8: 4x 2.3GHz, 4x 1.7GHz";"8";"Exynos 9611";"Mali-G72 MP3";"Mở khóa bằng vân tay, Mở khoá khuôn mặt";"MicroSD";"512 GB";"Tùy bộ nhớ";"Đang cập nhật";"159.0mm - 75.1mm - 8.9mm";"188g";"Nguyên Khối";"Khung & Mặt lưng nhựa";"Đang cập nhật";"Li-Po";NULL;"6000 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"USB Type C";"3.5mm";"802.11 a/b/g/n/ac 2.4+5GHz";"GPS,Glonass,Beidou,Galileo";"Bluetooth v5.0 (LE up to 2 Mbps)";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Không";"Galaxy M";NULL;"Có";"Có";"Có";"Có";"Có";"Chặn cuộc gọi, Sạc pin nhanh , Đèn pin, Chặn tin nhắn";"12 Tháng";"Việt Nam";"2020";"20.0 MP";"Chính 48 MP & Phụ 8 MP, 5 MP";"Làm đẹp thông minh, Selfie Focus";"UHD 4K (3840 x 2160)@30fps, Slowmotion 240fps @HD";"Có";"Công nghệ AI nhận diện 30 chủ thể, góc rộng 123 độ,Panorama, HDR, làm đẹp, góc rộng";NULL;"Máy, Sạc, Cáp, Sách hướng dẫn sử dụng, que lấy sim
";NULL;"không"
"227";"Samsung Galaxy A21s";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/6/2/637267175905809175_SaS-A21s-den-1.png";"4390000";"3894000";"4690000";"3 GB";"32 GB";"Đen/Xanh/Trắng/";"Giá đặc biệt đến 30/06: 4,390,000đ
Trả góp 0%, trả trước chỉ 469,000đ
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 269,000đ.
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/samsung-galaxy-a21s/558761/tra-gop";"TFT LCD";"720 x 1520 Pixels";"16 triệu màu";"HD+";NULL;"6.5 inchs";"Mặt kính cong 3D";"8 nhân 2.0 GHz";"8";"Exynos 850";"Đang cập nhật";"Mở khóa bằng vân tay, Mở khoá khuôn mặt";"Micro SD";"512 GB";"Tùy bộ nhớ";"Khoảng 19 GB";"Dài 163.6 mm - Ngang 75.3 mm - Dày 8.9 mm";"192g";"Nguyên Khối";"Khung & Mặt lưng nhựa";"Đang cập nhật";"Pin chuẩn Li-Ion";NULL;"5000 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"USB Type-C";"3.5mm";"802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot";"BDS, A-GPS, GLONASS";"A2DP, LE, v4.2";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Không";"Galaxy  A";NULL;"Có";"Có";"Có";"Có";"Có";"Chặn tin nhắn, Chặn cuộc gọi ,Đèn pin,Thu nhỏ màn hình sử dụng một tay,Nhân bản ứng dụng,Dolby Audio™";"12 Tháng";"Việt Nam";"2020";"13.0 MP";"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP";"Xoá phông, Quay video HD, Nhận diện khuôn mặt, Làm đẹp (Beautify), Quay video Full HD, Tự động lấy nét (AF), Góc rộng (Wide)";"HD 720p@30fps, FullHD 1080p@30fps";"Có";"Siêu cận (Macro), Góc siêu rộng (Ultrawide), Góc rộng (Wide), Xoá phông, Tự động lấy nét (AF), Chạm lấy nét, Nhận diện khuôn mặt, HDR, Toàn cảnh (Panorama), Làm đẹp (Beautify), Chuyên nghiệp (Pro)";NULL;"Máy, Sạc, Cáp, Sách hướng dẫn, cây lấy sim
";NULL;"không"
"228";"Samsung Galaxy A11";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/6/2/637267168507124914_SS-A11-den-1.png";"3390000";"3025000";"3690000";"3 GB";"32 GB";"Đen/Xanh/Trắng/";"Giá đặc biệt đến 21/06: 3,390,000đ
Hoặc mua giá thường: 3,690,000đ
Giảm ngay 1,190,000đ khi mua bộ đôi Samsung A31& A11 
Xem chi tiếtƯu đãi thêm:
Trả góp 0%, trả trước chỉ 369,000đ
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 229,000đ.
 Xem chi tiết";"https:/dien-thoai/samsung-galaxy-a31";"PLS TFT LCD";"720 x 1560 Pixels";"16 triệu màu";"HD +";NULL;"6.4 inches";"Mặt kính cong 3D";"1.8 GHz";"8";"Snapdragon 450 8 nhân";"Adreno 506";"Gia tốc, Cảm biến vân tay, Cảm biến ánh sáng, Cảm biến tiệm cận";"Micro SD";"512 GB";"Tùy bộ nhớ";"Khoảng 21 GB";"Dài 161.4 mm - Ngang 76.3 mm - Dày 8.0 mm";"177g";"Nguyên Khối";"Khung & Mặt lưng nhựa";"Đang cập nhật";"Pin chuẩn Li-Ion";NULL;"4000 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"USB Type-C";"3.5mm";"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot";"GPS,Glonass,Beidou,Galileo";"v4.2";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Không";"Galaxy  A";NULL;"Có";"Có";"Có";"Có";"Có";"Xem phim: 3GP, MP4, AVI, WMV, Nghe nhạc	: AMR, Midi, MP3, WAV, WMA, AAC, OGG, FLAC";"12 Tháng";"Việt Nam";"2020";"8.0 MP";"Chính 13 MP & Phụ 5 MP, 2 MP";"Góc rộng (Wide), Tự động lấy nét (AF), Quay video Full HD, Làm đẹp (Beautify), Nhận diện khuôn mặt, Chụp bằng cử chỉ, Quay video HD, Flash màn hình, Nhãn dán (AR Stickers), Xoá phông";"Quay phim FullHD 1080p@30fps";"Có";"Góc rộng (Wide), Xoá phông, Góc siêu rộng (Ultrawide), Tự động lấy nét (AF), Chạm lấy nét, Nhận diện khuôn mặt, HDR, Toàn cảnh (Panorama), Làm đẹp (Beautify),Chuyên nghiệp (Pro)";NULL;"Máy, Củ Sạc, Dây Sạc, Que Chọc Sim, Sách Hướng Dẫn. Hộp
";NULL;"không"
"229";"Samsung Galaxy A31";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/6/3/637267691826943740_sam-a31-den-1.png";"6490000";"5324000";NULL;"6 GB";"128 GB";"Đen/Xanh/Trắng/";"Khách hàng chọn 1 trong 2 khuyến mại sau:
KM1:
Trả góp 0%, trả trước chỉ 649,000đ
KM2:
Giảm ngay 1,190,000đ khi mua bộ đôi Samsung A31& A11 
Xem chi tiếtƯu đãi thêm:
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 369,000đ.
 Xem chi tiết";"https:/dien-thoai/samsung-galaxy-a31";"Super AMOLED";"1080 x 2400 Pixels";"16 triệu màu";"Full HD+";NULL;"6.4 inches";"Mặt kính cong 3D";"2 nhân 2.0 GHz & 6 nhân 1.7 GHz";"8";"MediaTek MT6768 8 nhân (Helio P65)";"Mali-G52 MC2";"Gia tốc, Cảm biến vân tay, Cảm biến Gyro, Cảm biến Geomagnetic, Cảm biến ánh sáng, Cảm biến tiệm cận ảo";"MicroSD, hỗ trợ tối đa 512 GB";"512 GB";"Tùy bộ nhớ";"Khoảng 104 GB";"Dài 159.3 mm - Ngang 73.1 mm - Dày 8.6 mm";"185 g";"Nguyên Khối";"Khung & Mặt lưng nhựa";"Đang cập nhật";"Pin chuẩn Li-Ion";NULL;"5000 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"USB Type C";"3.5 mm";"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot";"GPS,Glonass,Beidou,Galileo";"v5.0";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Có";"Galaxy  A";NULL;"Có";"Có";"Có";"Có";"Có";"Xem phim: 3GP, MP4, AVI, WMV,  Nghe nhạc : AMR, Midi, MP3, WAV, WMA, AAC, OGG, FLAC,";"12 Tháng";"Việt Nam";"2020";"20.0 MP";"Chính 48 MP & Phụ 8 MP, 5 MP, 5 MP";"	Xoá phông, Nhãn dán (AR Stickers), Nhận diện khuôn mặt, Làm đẹp (Beautify), Tự động lấy nét (AF), HDR, Quay video Full HD";"Quay phim FullHD 1080p@30fps";"Có";"	Siêu cận (Macro), Góc rộng (Wide), Góc siêu rộng (Ultrawide), Nhãn dán (AR Stickers), Xoá phông, Tự động lấy nét (AF), Chạm lấy nét, Nhận diện khuôn mặt, HDR, Toàn cảnh (Panorama), Làm đẹp (Beautify), Chuyên nghiệp (Pro)";NULL;"Máy, Bộ sạc, Ốp lưng, Sách hướng dẫn, Tai nghe, Que chọc sim, Hộp


";NULL;"không"
"230";"Samsung Galaxy M31s";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/5/14/637250632975161056_ss-m31-s.png";"None";"None";"None";NULL;NULL;;;"không";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"không";NULL;"Sản phẩm tin đồn"
"231";"Itel It2580";"https://cdn.fptshop.com.vn/Uploads/Originals/2018/8/14/636698597174166545_itel-vang-1.jpg";"320000";"187000";NULL;"4 MB";"4 MB";;"Đổi trả 100 ngày nếu lỗi NSX
Bảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 99,000đ.
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/itel-lt2580/413764/tra-gop";"TFT LCD";"128 x 160 pixels";"Không";"QVGA";"Không";"1.77""";"Không";"Không";"Không";"Không";"Không";"Không";"MicroSD";"32 GB";"1000 số";"Không";"123.7 x 52.7 x 13.1 mm";"56 g";"Thanh (thẳng)";"Nhựa";"Không";"Li-Ion";NULL;"1000 mAh";"Có";"Đang cập nhật";"Đang cập nhật";"Đang cập nhật";"Không";NULL;NULL;"MicroUSB";"3.5 mm";"Không";"Không";"Có";"Không";NULL;"Sim thường";"Có";"Không";"Không";"2";"Không";NULL;NULL;"Có";"Có";"Không";"Có";"Có";"Không";"12 tháng";NULL;NULL;"Không";"VGA";"Không";"Có";"Có";"Không";NULL;;NULL;"không"
"232";"Vsmart BEE 1GB-16GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/7/30/637001053163734574_vsmart-bee-den-1.png";"990000";"693000";NULL;"1 GB";"16 GB";"Đen/Xanh/";"Đổi trả 101 ngày nếu lỗi NSX
Bảo hành 18 tháng
Tặng thêm 1 tháng bảo hành khi mua ĐTDĐ Vsmart 
Xem chi tiết";"https://fptshop.com.vn/dien-thoai/vsmart-bee-1-16gb/502658/tra-gop";"IPS LCD";"720 x 1440 Pixels";"16 triệu màu";"HD +";NULL;"5.45 inchs";"Kính Cường Lực";"1.3Ghz";"4";"MTK6739";"PowerVR GE8100";"Cảm biến tiệm cận, Cảm biến ánh sáng xung quang, la bàn điện tử, cam biến trọng lực, con quay hồi chuyển";"Micro SD";"64 GB";"Không giới hạn";"Đang cập nhật";"150.5 x 71.3 x 9 mm";"150g";"Pin rời";"Nhựa";"Không";"Li-Po";NULL;"2500 mAh";"Có";NULL;NULL;NULL;"Không";NULL;NULL;"Micro USB";"3.5mm";"802.11 b/g/n, Wifi Hotspot";"A-GPS, GLONASS";"v4.1, A2DP, LE";"Có";NULL;"Nano sim (1 khe cắm thẻ nhớ riêng)";NULL;NULL;NULL;"3 ( 2 sim nano+thẻ nhớ micro SD)";"Không";NULL;NULL;"Có";"Có";"Có";"Có";"Có";"Đang cập nhật";"18 Tháng";"Việt Nam";"2019";"5.0 MP";"8.0 MP";"Trang bị đèn led, hỗ trợ video call";"Quay phim full HD 1080p@30fps";"Có";"Tự động lấy nét  + HDR";NULL;"không";NULL;"không"
"233";"Nokia C5 Endi";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/6/9/637273225641334355_nokia-c5-endi-1.png";"None";"None";"None";NULL;NULL;;;"không";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"không";NULL;"Sản phẩm tin đồn"
"234";"OPPO A12e";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/4/6/637217821953181517_oppo-a12e-1.png";"None";"None";"None";NULL;NULL;;;"không";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"không";NULL;"Sản phẩm tin đồn"
